month,hc_tenured,hc_ramping,hc_total,mentoring_tax,shrinkage_rate,effective_capacity_saos,capacity_flag
1,99.16666666666667,0.0,99.16666666666667,0.012605042016806721,0.16,3692.2500000000005,False
2,98.34027777777779,16.666666666666664,115.00694444444446,0.016947955652849376,0.16,4272.262500000001,False
3,97.52077546296297,41.666666666666664,139.18744212962963,0.004272593862062868,0.16,5242.5353125,False
4,96.70810233410495,50.0,146.70810233410495,0.007755296421895624,0.16,5511.816268229167,False
5,95.90220148132074,60.0,155.90220148132073,0.0026068223266876053,0.16,5881.853215993924,False
6,95.1030164689764,65.0,160.10301646897642,0.005783202472651493,0.16,6027.144022527308,False
7,94.31049133173494,72.33333333333333,166.64382466506828,0.0019439336042526032,0.16,6290.88657233958,False
8,93.52457057063715,76.0,169.52457057063714,0.0,0.16,6408.028767570084,False
9,92.74519914921518,76.0,168.74519914921518,0.0,0.16,6378.568527840334,False
10,91.97232248963839,76.0,167.97232248963837,0.0,0.16,6349.353790108331,False
11,91.2058864688914,76.0,167.2058864688914,0.0,0.16,6320.382508524095,False
12,90.44583741498398,76.0,166.445837414984,0.0,0.16,6291.652654286395,False
