sao_month,booking_month,segment_key,product,delay_months,probability,sao_bookings,realized_bookings,in_window
1,1,CM.Marketing,CM,0,0.4,167799.86052998606,67119.94421199443,True
1,2,CM.Marketing,CM,1,0.35,167799.86052998606,58729.95118549512,True
1,3,CM.Marketing,CM,2,0.15,167799.86052998606,25169.97907949791,True
1,4,CM.Marketing,CM,3,0.1,167799.86052998606,16779.986052998607,True
1,1,CM.Outbound,CM,0,0.4,100679.91631799165,40271.966527196666,True
1,2,CM.Outbound,CM,1,0.35,100679.91631799165,35237.97071129707,True
1,3,CM.Outbound,CM,2,0.15,100679.91631799165,15101.987447698746,True
1,4,CM.Outbound,CM,3,0.1,100679.91631799165,10067.991631799166,True
1,1,CM.Partner,CM,0,0.4,153417.01534170157,61366.80613668063,True
1,2,CM.Partner,CM,1,0.35,153417.01534170157,53695.95536959555,True
1,3,CM.Partner,CM,2,0.15,153417.01534170157,23012.552301255233,True
1,4,CM.Partner,CM,3,0.1,153417.01534170157,15341.701534170157,True
1,1,EOR.Marketing,EOR,0,0.1,4986052.998605303,498605.2998605303,True
1,2,EOR.Marketing,EOR,1,0.3,4986052.998605303,1495815.8995815907,True
1,3,EOR.Marketing,EOR,2,0.4,4986052.998605303,1994421.1994421212,True
1,4,EOR.Marketing,EOR,3,0.2,4986052.998605303,997210.5997210606,True
1,1,EOR.Outbound,EOR,0,0.1,862970.7112970712,86297.07112970712,True
1,2,EOR.Outbound,EOR,1,0.3,862970.7112970712,258891.21338912135,True
1,3,EOR.Outbound,EOR,2,0.4,862970.7112970712,345188.2845188285,True
1,4,EOR.Outbound,EOR,3,0.2,862970.7112970712,172594.14225941425,True
1,1,EOR.Partner,EOR,0,0.1,3322437.2384937215,332243.7238493722,True
1,2,EOR.Partner,EOR,1,0.3,3322437.2384937215,996731.1715481164,True
1,3,EOR.Partner,EOR,2,0.4,3322437.2384937215,1328974.8953974887,True
1,4,EOR.Partner,EOR,3,0.2,3322437.2384937215,664487.4476987444,True
1,1,Payroll.Marketing,Payroll,0,0.5,287656.90376569045,143828.45188284523,True
1,2,Payroll.Marketing,Payroll,1,0.3,287656.90376569045,86297.07112970714,True
1,3,Payroll.Marketing,Payroll,2,0.2,287656.90376569045,57531.380753138095,True
1,1,Payroll.Outbound,Payroll,0,0.5,143828.45188284523,71914.22594142261,True
1,2,Payroll.Outbound,Payroll,1,0.3,143828.45188284523,43148.53556485357,True
1,3,Payroll.Outbound,Payroll,2,0.2,143828.45188284523,28765.690376569048,True
1,1,Payroll.Partner,Payroll,0,0.5,287656.9037656904,143828.4518828452,True
1,2,Payroll.Partner,Payroll,1,0.3,287656.9037656904,86297.07112970711,True
