segment,volume_saos,effective_asp,effective_win_rate,effective_roi
CM.Marketing,0,5000.0,0.35,1750.0
CM.Marketing,50,5000.0,0.35,1750.0
CM.Marketing,100,5000.0,0.35,1750.0
CM.Marketing,200,5000.0,0.35,1750.0
CM.Marketing,300,5000.0,0.346,1729.9999999999998
CM.Marketing,400,4852.227667742541,0.33599999999999997,1630.3484963614935
CM.Marketing,500,4615.581731933179,0.32599999999999996,1504.6796446102162
CM.Marketing,600,4390.477154602807,0.31599999999999995,1387.3907808544868
CM.Marketing,800,3972.6680125166704,0.296,1175.9097317049343
CM.Marketing,1000,3594.618667159631,0.27599999999999997,992.1147521360581
CM.Outbound,0,7000.0,0.15,1050.0
CM.Outbound,50,7000.0,0.15,1050.0
CM.Outbound,100,7000.0,0.15,1050.0
CM.Outbound,200,7000.0,0.15,1050.0
CM.Outbound,300,7000.0,0.146,1021.9999999999999
CM.Outbound,400,6793.118734839557,0.13599999999999998,923.8641479381796
CM.Outbound,500,6461.81442470645,0.126,814.1886175130127
CM.Outbound,600,6146.668016443929,0.11599999999999999,713.0134899074958
CM.Outbound,800,5561.735217523338,0.096,533.9265808822405
CM.Outbound,1000,5032.466134023483,0.09,452.92195206211346
CM.Partner,0,8000.0,0.2,1600.0
CM.Partner,50,8000.0,0.2,1600.0
CM.Partner,100,8000.0,0.2,1600.0
CM.Partner,200,8000.0,0.2,1600.0
CM.Partner,300,8000.0,0.196,1568.0
CM.Partner,400,7763.564268388065,0.186,1444.02295392018
CM.Partner,500,7384.930771093086,0.17600000000000002,1299.7478157123833
CM.Partner,600,7024.76344736449,0.166,1166.1107322625055
CM.Partner,800,6356.268820026672,0.14600000000000002,928.0152477238943
CM.Partner,1000,5751.389867455409,0.126,724.6751232993815
EOR.Marketing,0,10000.0,0.65,6500.0
EOR.Marketing,50,10000.0,0.65,6500.0
EOR.Marketing,100,10000.0,0.65,6500.0
EOR.Marketing,200,10000.0,0.65,6500.0
EOR.Marketing,300,10000.0,0.646,6460.0
EOR.Marketing,400,9704.455335485081,0.636,6172.033593368512
EOR.Marketing,500,9231.163463866358,0.626,5778.70832838034
EOR.Marketing,600,8780.954309205614,0.616,5409.067854470658
EOR.Marketing,800,7945.336025033341,0.596,4735.420270919871
EOR.Marketing,1000,7189.237334319262,0.5760000000000001,4141.000704567896
EOR.Outbound,0,12500.0,0.3,3750.0
EOR.Outbound,50,12500.0,0.3,3750.0
EOR.Outbound,100,12500.0,0.3,3750.0
EOR.Outbound,200,12500.0,0.3,3750.0
EOR.Outbound,300,12500.0,0.296,3700.0
EOR.Outbound,400,12130.569169356351,0.286,3469.342782435916
EOR.Outbound,500,11538.954329832946,0.27599999999999997,3184.751395033893
EOR.Outbound,600,10976.192886507017,0.266,2919.6673078108665
EOR.Outbound,800,9931.670031291676,0.246,2443.1908276977524
EOR.Outbound,1000,8986.546667899078,0.22599999999999998,2030.9595469451915
EOR.Partner,0,15000.0,0.35,5250.0
EOR.Partner,50,15000.0,0.35,5250.0
EOR.Partner,100,15000.0,0.35,5250.0
EOR.Partner,200,15000.0,0.35,5250.0
EOR.Partner,300,15000.0,0.346,5190.0
EOR.Partner,400,14556.683003227623,0.33599999999999997,4891.045489084481
EOR.Partner,500,13846.745195799536,0.32599999999999996,4514.038933830649
EOR.Partner,600,13171.43146380842,0.31599999999999995,4162.17234256346
EOR.Partner,800,11918.00403755001,0.296,3527.7291951148027
EOR.Partner,1000,10783.856001478893,0.27599999999999997,2976.3442564081743
Payroll.Marketing,0,12000.0,0.25,3000.0
Payroll.Marketing,50,12000.0,0.25,3000.0
Payroll.Marketing,100,12000.0,0.25,3000.0
Payroll.Marketing,200,12000.0,0.25,3000.0
Payroll.Marketing,300,12000.0,0.246,2952.0
Payroll.Marketing,400,11645.346402582098,0.236,2748.301751009375
Payroll.Marketing,500,11077.396156639628,0.226,2503.491531400556
Payroll.Marketing,600,10537.145171046735,0.216,2276.0233569460947
Payroll.Marketing,800,9534.403230040009,0.196,1868.7430330878417
Payroll.Marketing,1000,8627.084801183115,0.176,1518.3669250082282
Payroll.Outbound,0,15000.0,0.1,1500.0
Payroll.Outbound,50,15000.0,0.1,1500.0
Payroll.Outbound,100,15000.0,0.1,1500.0
Payroll.Outbound,200,15000.0,0.1,1500.0
Payroll.Outbound,300,15000.0,0.096,1440.0
Payroll.Outbound,400,14556.683003227623,0.08600000000000001,1251.8747382775757
Payroll.Outbound,500,13846.745195799536,0.07600000000000001,1052.352634880765
Payroll.Outbound,600,13171.43146380842,0.066,869.3144766113558
Payroll.Outbound,800,11918.00403755001,0.06,715.0802422530006
Payroll.Outbound,1000,10783.856001478893,0.06,647.0313600887335
Payroll.Partner,0,20000.0,0.15,3000.0
Payroll.Partner,50,20000.0,0.15,3000.0
Payroll.Partner,100,20000.0,0.15,3000.0
Payroll.Partner,200,20000.0,0.15,3000.0
Payroll.Partner,300,20000.0,0.146,2920.0
Payroll.Partner,400,19408.910670970163,0.13599999999999998,2639.611851251942
Payroll.Partner,500,18462.326927732716,0.126,2326.253192894322
Payroll.Partner,600,17561.908618411228,0.11599999999999999,2037.1813997357021
Payroll.Partner,800,15890.672050066682,0.096,1525.5045168064014
Payroll.Partner,1000,14378.474668638524,0.09,1294.062720177467
