month,target_revenue,hc_tenured,hc_ramping,hc_total,mentoring_tax,shrinkage_rate,effective_capacity_saos,total_required_saos,total_pipeline,total_bookings,capacity_gap,bookings_vs_target,cumulative_target,cumulative_bookings,cumulative_gap
1,10312500.000000002,99.16666666666667,0.0,99.16666666666667,0.012605042016806721,0.16,3692.2500000000005,3196.1878196187827,31474459.553695966,10312500.000000004,496.0621803812178,1.862645149230957e-09,10312500.000000002,10312500.000000004,1.862645149230957e-09
2,12187500.000000004,98.34027777777779,16.666666666666664,115.00694444444446,0.016947955652849376,0.16,4272.262500000001,3775.557620817845,37132609.200743504,12187500.000000004,496.70487918215576,0.0,22500000.000000007,22500000.000000007,0.0
3,13125000.000000004,97.52077546296297,41.666666666666664,139.18744212962963,0.004272593862062868,0.16,5242.5353125,4064.0966093822585,39919588.94565723,13125000.000000002,1178.4387031177416,-1.862645149230957e-09,35625000.000000015,35625000.00000001,-7.450580596923828e-09
4,17812500.000000004,96.70810233410495,50.0,146.70810233410495,0.0025850988072985415,0.16,5534.316268229168,5510.440835266823,53988544.0835267,17812500.000000007,23.875432962344348,3.725290298461914e-09,53437500.000000015,53437500.000000015,0.0
5,14062500.000000002,95.90220148132074,53.333333333333336,149.23553481465407,0.000868940775562535,0.16,5637.353215993924,4354.389224338133,42770988.156061314,14062500.000000002,1282.9639916557908,0.0,67500000.00000001,67500000.00000001,0.0
6,15000000.000000004,95.1030164689764,55.0,150.10301646897642,0.0031544740759917238,0.16,5660.394022527308,4642.525533890438,45543175.487465195,15000000.000000004,1017.8684886368701,0.0,82500000.00000001,82500000.00000001,0.0
7,17812500.000000004,94.31049133173494,59.0,153.31049133173494,0.0010603274205014197,0.16,5790.636572339581,5510.440835266823,53988544.0835267,17812500.000000007,280.19573707275777,3.725290298461914e-09,100312500.00000001,100312500.00000003,1.4901161193847656e-08
8,14625000.000000002,93.52457057063715,61.0,154.52457057063714,0.0,0.16,5841.028767570084,4524.297620647938,44383359.65855627,14627203.669329248,1316.7311469221459,2203.669329246506,114937500.00000001,114939703.66932929,2203.6693292707205
9,15937500.000000004,92.74519914921518,61.0,153.74519914921518,0.0,0.16,5811.568527840334,4932.6833797585905,48389623.95543177,15937500.000000004,878.8851480817439,0.0,130875000.00000001,130877203.66932929,2203.6693292707205
10,19687500.000000004,91.97232248963839,61.0,152.97232248963837,0.0,0.16,5782.353790108331,5782.353790108329,57751258.47870693,18309823.276378024,1.8189894035458565e-12,-1377676.7236219794,150562500.00000003,149187026.94570732,-1375473.0542927086
11,19125000.0,91.2058864688914,61.0,152.2058864688914,0.0,0.16,5753.382508524095,5753.382508524093,54856336.23518692,16354550.581537485,1.8189894035458565e-12,-2770449.418462515,169687500.00000003,165541577.5272448,-4145922.4727552235
12,17812500.000000004,90.44583741498398,61.0,151.445837414984,0.0,0.16,5724.652654286395,5724.652654286394,66549087.106079325,11815683.078447117,9.094947017729282e-13,-5996816.921552887,187500000.00000003,177357260.6056919,-10142739.39430812
