month,segment_key,share,required_saos,effective_asp,effective_cw_rate,projected_pipeline,projected_bookings,projected_deals,capacity_flag,weighted_roi,product,channel,period
1,CM.Marketing,0.03,89.34473610558466,5000.0,0.35,446723.6805279233,156353.28818477315,31,0,1750.0,CM,Marketing,1
1,CM.Outbound,0.03,89.34473610558466,7000.0,0.15,625413.1527390926,93811.97291086389,13,0,1050.0,CM,Outbound,1
1,CM.Partner,0.03,89.34473610558466,8000.0,0.2,714757.8888446772,142951.57776893544,18,0,1600.0,CM,Partner,1
1,EOR.Marketing,0.4,1191.2631480744622,7500.0,0.5568736851925538,8934473.610558467,4975373.244767315,663,0,4176.552638944153,EOR,Marketing,1
1,EOR.Outbound,0.13999999999999999,416.94210182606173,12028.244510904067,0.2843057898173938,5015081.547654131,1425816.7204044454,119,0,3419.6995557893124,EOR,Outbound,1
1,EOR.Partner,0.2799999999999997,833.8842036521226,11717.788821906237,0.29261157963478773,9771279.000319026,2859189.3833355797,244,0,3428.7606970048423,EOR,Partner,1
1,Payroll.Marketing,0.03,89.34473610558466,12000.0,0.25,1072136.8332670159,268034.20831675397,22,0,3000.0,Payroll,Marketing,1
1,Payroll.Outbound,0.03,89.34473610558466,15000.0,0.1,1340171.04158377,134017.104158377,9,0,1500.0,Payroll,Outbound,1
1,Payroll.Partner,0.03,89.34473610558466,20000.0,0.15,1786894.7221116931,268034.20831675397,13,0,3000.0,Payroll,Partner,1
2,CM.Marketing,0.03,112.36388680187063,5000.0,0.35,561819.4340093532,196636.8019032736,39,0,1750.0,CM,Marketing,2
2,CM.Outbound,0.03,112.36388680187063,7000.0,0.15,786547.2076130945,117982.08114196417,17,0,1050.0,CM,Outbound,2
2,CM.Partner,0.03,112.36388680187063,8000.0,0.2,898911.0944149651,179782.21888299304,22,0,1600.0,CM,Partner,2
2,EOR.Marketing,0.4,1498.1851573582753,7500.0,0.5261814842641724,11236388.680187065,5912379.673509976,788,0,3946.3611319812935,EOR,Marketing,2
2,EOR.Outbound,0.13999999999999999,524.3648050753962,11399.234930292816,0.2735635194924604,5977357.60223164,1635186.9829315017,143,0,3118.414827052294,EOR,Outbound,2
2,EOR.Partner,0.2799999999999997,1048.7296101507914,11250.0,0.27999999999999997,11798208.114196403,3303498.2719749925,294,0,3149.9999999999995,EOR,Partner,2
2,Payroll.Marketing,0.03,112.36388680187063,12000.0,0.25,1348366.6416224476,337091.6604056119,28,0,3000.0,Payroll,Marketing,2
2,Payroll.Outbound,0.03,112.36388680187063,15000.0,0.1,1685458.3020280595,168545.83020280596,11,0,1500.0,Payroll,Outbound,2
2,Payroll.Partner,0.03,112.36388680187063,20000.0,0.15,2247277.7360374127,337091.6604056119,17,0,3000.0,Payroll,Partner,2
3,CM.Marketing,0.03,121.72394561733384,5000.0,0.35,608619.7280866692,213016.9048303342,43,0,1750.0,CM,Marketing,3
3,CM.Outbound,0.03,121.72394561733384,7000.0,0.15,852067.6193213369,127810.14289820052,18,0,1050.0,CM,Outbound,3
3,CM.Partner,0.03,121.72394561733384,8000.0,0.2,973791.5649386707,194758.31298773416,24,0,1600.0,CM,Partner,3
3,EOR.Marketing,0.4,1622.9859415644514,7500.0,0.52,12172394.561733386,6329645.172101361,844,0,3900.0,EOR,Marketing,3
3,EOR.Outbound,0.12999999999999998,527.4704310084466,11381.547786451718,0.27325295689915535,6003429.916462919,1640454.9762103418,144,0,3110.0415867369684,EOR,Outbound,3
3,EOR.Partner,0.2899999999999997,1176.664807634226,11250.0,0.27999999999999997,13237479.085885042,3706494.1440478116,329,0,3149.9999999999995,EOR,Partner,3
3,Payroll.Marketing,0.03,121.72394561733384,12000.0,0.25,1460687.347408006,365171.8368520015,30,0,3000.0,Payroll,Marketing,3
3,Payroll.Outbound,0.03,121.72394561733384,15000.0,0.1,1825859.1842600077,182585.91842600078,12,0,1500.0,Payroll,Outbound,3
3,Payroll.Partner,0.03,121.72394561733384,20000.0,0.15,2434478.912346677,365171.83685200155,18,0,3000.0,Payroll,Partner,3
4,CM.Marketing,0.03,165.354488046875,5000.0,0.35,826772.440234375,289370.35408203123,58,1,1750.0,CM,Marketing,4
4,CM.Outbound,0.03,165.354488046875,7000.0,0.15,1157481.416328125,173622.21244921873,25,1,1050.0,CM,Outbound,4
4,CM.Partner,0.03,165.354488046875,8000.0,0.2,1322835.904375,264567.180875,33,1,1600.0,CM,Partner,4
4,EOR.Marketing,0.4,2204.7265072916666,7500.0,0.52,16535448.8046875,8598433.3784375,1146,1,3900.0,EOR,Marketing,4
4,EOR.Outbound,0.09999999999999999,551.1816268229167,11247.409448582175,0.2708818373177083,6199365.437412967,1679295.499890323,149,1,3046.718936496492,EOR,Outbound,4
4,EOR.Partner,0.31999999999999973,1763.7812058333318,11250.0,0.27999999999999997,19842538.565624982,5555910.798374995,494,1,3149.9999999999995,EOR,Partner,4
4,Payroll.Marketing,0.03,165.354488046875,12000.0,0.25,1984253.8565625,496063.464140625,41,1,3000.0,Payroll,Marketing,4
4,Payroll.Outbound,0.03,165.354488046875,15000.0,0.1,2480317.320703125,248031.73207031252,17,1,1500.0,Payroll,Outbound,4
4,Payroll.Partner,0.03,165.354488046875,20000.0,0.15,3307089.7609375,496063.464140625,25,1,3000.0,Payroll,Partner,4
5,CM.Marketing,0.03,130.32148593252285,5000.0,0.35,651607.4296626142,228062.60038191496,46,0,1750.0,CM,Marketing,5
5,CM.Outbound,0.03,130.32148593252285,7000.0,0.15,912250.40152766,136837.56022914898,20,0,1050.0,CM,Outbound,5
5,CM.Partner,0.03,130.32148593252285,8000.0,0.2,1042571.8874601828,208514.37749203655,26,0,1600.0,CM,Partner,5
5,EOR.Marketing,0.4,1737.6198124336381,7500.0,0.52,13032148.593252286,6776717.268491189,904,0,3900.0,EOR,Marketing,5
5,EOR.Outbound,0.11999999999999998,521.2859437300914,11416.796776343279,0.27387140562699086,5951415.681930771,1629922.5782808966,143,0,3126.7341808948318,EOR,Outbound,5
5,EOR.Partner,0.2999999999999997,1303.2148593252273,11250.0,0.27999999999999997,14661167.167408807,4105126.8068744657,365,0,3149.9999999999995,EOR,Partner,5
5,Payroll.Marketing,0.03,130.32148593252285,12000.0,0.25,1563857.831190274,390964.4577975685,33,0,3000.0,Payroll,Marketing,5
