month,segment_key,share,required_saos,effective_asp,effective_cw_rate,projected_pipeline,projected_bookings,projected_deals,capacity_flag,weighted_roi,in_window_factor,in_window_bookings,deferred_bookings,product,channel,period
1,CM.Marketing,0.03,95.8856345885635,5000.0,0.35,479428.1729428175,167799.86052998612,34,0,1750.0,1.0,167799.86052998612,0.0,CM,Marketing,1
1,CM.Outbound,0.03,95.8856345885635,7000.0,0.15,671199.4421199445,100679.91631799166,14,0,1050.0,1.0,100679.91631799166,0.0,CM,Outbound,1
1,CM.Partner,0.03,95.8856345885635,8000.0,0.2,767085.0767085081,153417.01534170163,19,0,1600.0,1.0,153417.01534170163,0.0,CM,Partner,1
1,EOR.Marketing,0.4,1278.4751278475137,7500.0,0.52,9588563.458856352,4986052.9986053035,665,0,3900.0,1.0,4986052.9986053035,0.0,EOR,Marketing,1
1,EOR.Outbound,0.09,287.6569037656905,12500.0,0.24,3595711.2970711314,862970.7112970715,69,0,3000.0,1.0,862970.7112970715,0.0,EOR,Outbound,1
1,EOR.Partner,0.3299999999999997,1054.7419804741978,11250.0,0.2799999999999999,11865847.280334726,3322437.238493723,295,0,3149.9999999999995,1.0,3322437.238493723,0.0,EOR,Partner,1
1,Payroll.Marketing,0.03,95.8856345885635,12000.0,0.25,1150627.615062762,287656.9037656905,24,0,3000.0,1.0,287656.9037656905,0.0,Payroll,Marketing,1
1,Payroll.Outbound,0.03,95.8856345885635,15000.0,0.1,1438284.5188284526,143828.45188284526,10,0,1500.0,1.0,143828.45188284526,0.0,Payroll,Outbound,1
1,Payroll.Partner,0.03,95.8856345885635,20000.0,0.15,1917712.69177127,287656.9037656905,14,0,3000.0,1.0,287656.9037656905,0.0,Payroll,Partner,1
2,CM.Marketing,0.03,113.26672862453538,5000.0,0.35,566333.6431226769,198216.7750929369,40,0,1750.0,1.0,198216.7750929369,0.0,CM,Marketing,2
2,CM.Outbound,0.03,113.26672862453538,7000.0,0.15,792867.1003717476,118930.06505576214,17,0,1050.0,1.0,118930.06505576214,0.0,CM,Outbound,2
2,CM.Partner,0.03,113.26672862453538,8000.0,0.2,906133.828996283,181226.76579925665,23,0,1600.0,1.0,181226.76579925665,0.0,CM,Partner,2
2,EOR.Marketing,0.4,1510.2230483271385,7500.0,0.52,11326672.86245354,5889869.88847584,785,0,3900.0,1.0,5889869.88847584,0.0,EOR,Marketing,2
2,EOR.Outbound,0.08,302.0446096654277,12500.0,0.24,3775557.620817846,906133.828996283,72,0,3000.0,1.0,906133.828996283,0.0,EOR,Outbound,2
2,EOR.Partner,0.3399999999999997,1283.6895910780663,11250.0,0.2799999999999999,14441507.899628248,4043622.211895909,359,0,3149.9999999999995,1.0,4043622.211895909,0.0,EOR,Partner,2
2,Payroll.Marketing,0.03,113.26672862453538,12000.0,0.25,1359200.7434944245,339800.1858736061,28,0,3000.0,1.0,339800.1858736061,0.0,Payroll,Marketing,2
2,Payroll.Outbound,0.03,113.26672862453538,15000.0,0.1,1699000.9293680305,169900.09293680306,11,0,1500.0,1.0,169900.09293680306,0.0,Payroll,Outbound,2
2,Payroll.Partner,0.03,113.26672862453538,20000.0,0.15,2265334.5724907075,339800.1858736061,17,0,3000.0,1.0,339800.1858736061,0.0,Payroll,Partner,2
3,CM.Marketing,0.03,121.92289828146778,5000.0,0.35,609614.4914073389,213365.07199256856,43,0,1750.0,1.0,213365.07199256856,0.0,CM,Marketing,3
3,CM.Outbound,0.03,121.92289828146778,7000.0,0.15,853460.2879702745,128019.04319554116,18,0,1050.0,1.0,128019.04319554116,0.0,CM,Outbound,3
3,CM.Partner,0.03,121.92289828146778,8000.0,0.2,975383.1862517424,195076.6372503485,24,0,1600.0,1.0,195076.6372503485,0.0,CM,Partner,3
3,EOR.Marketing,0.4,1625.6386437529038,7500.0,0.52,12192289.828146778,6339990.710636325,845,0,3900.0,1.0,6339990.710636325,0.0,EOR,Marketing,3
